Index;CocaCola;Citigroup;Walmart;Nike
23/05/2007;25.665001;550.099976;46.330002;13.705
24/05/2007;25.620001;549.299988;46.650002;13.6175
25/05/2007;25.945;551.200012;46.91;13.57
29/05/2007;26.09;549.099976;46.939999;13.68
30/05/2007;26.525;552;47.119999;13.9325
31/05/2007;26.495001;544.900024;47.599998;14.1875
01/06/2007;26.4;545.099976;49.470001;14.1725
04/06/2007;26.334999;541.5;51.209999;14.3075
05/06/2007;26.16;539;50.52;14.2225
06/06/2007;26;533.299988;50.75;13.9275
07/06/2007;25.690001;525.200012;49.759998;13.525
08/06/2007;25.834999;533.299988;50.080002;13.24
11/06/2007;25.815001;534.700012;49.810001;13.35
12/06/2007;25.57;526;48.91;13.2975
13/06/2007;25.68;536.799988;49.5;13.37
14/06/2007;25.655001;536.700012;49.279999;13.42
15/06/2007;25.790001;539.799988;49.34;13.355
18/06/2007;25.879999;539.599976;49.110001;13.4075
19/06/2007;25.695;542.599976;48.810001;13.625
20/06/2007;25.745001;534.400024;48.59;13.4075
21/06/2007;26.045;536.599976;48.389999;13.395
22/06/2007;25.809999;524.099976;47.830002;13.2375
25/06/2007;25.885;516.900024;47.82;13.4525
26/06/2007;25.975;511.5;47.970001;13.455
27/06/2007;26.219999;518.099976;48.459999;14.5725
28/06/2007;26.315001;518.099976;48.209999;14.5725
29/06/2007;26.155001;512.900024;48.110001;14.5725
02/07/2007;26.280001;516.400024;48.330002;14.6
03/07/2007;26.450001;518.599976;48.470001;14.745
05/07/2007;26.334999;515;48.09;14.8375
06/07/2007;26.299999;517;48.389999;14.9175
09/07/2007;26.35;516;48.5;14.77
10/07/2007;26.049999;510;47.580002;14.6125
11/07/2007;26.045;514.099976;47.68;14.6125
12/07/2007;26.315001;528.400024;48.830002;14.865
13/07/2007;26.555;525.200012;49.150002;14.7525
16/07/2007;26.924999;521.900024;48.939999;14.695
17/07/2007;26.584999;524.599976;48.349998;14.8625
18/07/2007;26.715;516;48.040001;14.92
19/07/2007;26.85;511.299988;48.790001;14.9575
20/07/2007;26.605;507.299988;48.060001;14.63
23/07/2007;26.82;508.600006;48.110001;14.85
24/07/2007;26.610001;493.100006;48.02;14.5875
25/07/2007;27.025;492.100006;47.869999;14.4575
26/07/2007;26.49;478.100006;46.82;14.225
27/07/2007;26.139999;469.700012;45.939999;13.86
30/07/2007;26.195;471.899994;46.209999;14.21
31/07/2007;26.055;465.700012;45.950001;14.1125
01/08/2007;26.635;468.5;46.220001;14.225
02/08/2007;26.83;472.399994;46.73;14.2375
03/08/2007;26.639999;457.200012;45.52;14.125
06/08/2007;27.115;483.5;47.02;14.3675
07/08/2007;27.23;485.899994;47.060001;14.515
08/08/2007;27.93;494.899994;48.419998;14.1525
09/08/2007;27.924999;469;46.450001;13.475
10/08/2007;27.49;470;46.07;13.945
13/08/2007;27.26;465.399994;46.169998;14.0375
14/08/2007;27.07;456.600006;43.82;13.665
15/08/2007;26.915001;456.100006;43.279999;13.3925
16/08/2007;26.790001;475.5;43.5;13.2975
17/08/2007;27.225;488.100006;43.490002;13.6175
20/08/2007;27.26;483.899994;43.59;13.595
21/08/2007;27.014999;480.600006;43.700001;13.53
22/08/2007;26.975;484.299988;43.75;13.5475
23/08/2007;26.99;483.5;43.169998;13.5075
24/08/2007;27;485;43.740002;13.53
27/08/2007;27.004999;477.899994;43.82;13.47
28/08/2007;26.629999;461.399994;43.400002;13.3825
29/08/2007;26.754999;469.5;44.189999;13.865
30/08/2007;26.700001;462.299988;43.32;13.94
31/08/2007;26.889999;468.799988;43.630001;14.085
04/09/2007;27.184999;472.100006;43.299999;14.105
05/09/2007;26.844999;460;42.450001;13.8675
06/09/2007;27.33;456.600006;42.759998;13.95
07/09/2007;27.295;454.799988;42.389999;13.675
10/09/2007;27.285;453;42.27;13.7875
11/09/2007;27.83;460.100006;42.939999;13.8825
12/09/2007;27.92;457.600006;42.709999;14.02
13/09/2007;27.934999;463.600006;43.060001;14.22
14/09/2007;28.200001;466.399994;43.32;14.3075
17/09/2007;27.639999;460.299988;43.32;14.0775
18/09/2007;28.205;483.700012;44.439999;14.6975
19/09/2007;28.309999;482.700012;44.75;14.64
20/09/2007;28.155001;472;44.32;14.58
21/09/2007;28.275;475.100006;44.23;14.315
24/09/2007;28.35;465.899994;43.970001;14.4525
25/09/2007;28.51;463.100006;43.16;14.6125
26/09/2007;28.674999;465.5;43.299999;14.5975
27/09/2007;28.665001;468.799988;43.610001;14.5425
28/09/2007;28.735001;466.700012;43.650002;14.665
01/10/2007;28.950001;477.200012;44.470001;14.8475
02/10/2007;28.959999;478.600006;44.869999;14.79
03/10/2007;28.785;478.899994;45.130001;14.805
04/10/2007;28.934999;476.299988;45;14.84
05/10/2007;29.035;483;45.369999;15.0875
08/10/2007;28.9;478;45.27;15.0025
09/10/2007;28.940001;476.200012;45.209999;15.4425
10/10/2007;28.934999;471.399994;45.59;15.465
11/10/2007;28.594999;483.200012;46.900002;15.2525
12/10/2007;28.9;478.700012;47.060001;15.7875
15/10/2007;28.82;462.399994;46.450001;15.98
16/10/2007;28.879999;447.899994;45.860001;15.9775
17/10/2007;29.545;446.600006;45.990002;15.79
18/10/2007;29.68;438.299988;45.889999;15.815
19/10/2007;29.379999;423.600006;44.98;15.8325
22/10/2007;29.625;426.100006;45.25;15.7925
23/10/2007;29.875;424.399994;43.93;16.030001
24/10/2007;30.09;418.200012;43.869999;15.865
25/10/2007;30.65;412.299988;43.880001;15.96
26/10/2007;30.785;426.299988;44.639999;16.1525
29/10/2007;30.92;426.899994;45.009998;16.305
30/10/2007;30.865;421.100006;45.369999;16.2325
31/10/2007;30.879999;419;45.209999;16.565001
01/11/2007;30.450001;385.100006;44.029999;15.955
02/11/2007;30.254999;377.299988;44.189999;15.9675
05/11/2007;30.17;359;44.029999;15.845
06/11/2007;30.504999;350.799988;44.290001;15.9975
07/11/2007;29.98;334.100006;43.93;15.695
08/11/2007;30.735001;329;43.619999;15.825
09/11/2007;30.415001;331;42.900002;15.5525
12/11/2007;29.93;335.700012;43.32;15.65
13/11/2007;30.52;359;45.970001;15.9975
14/11/2007;30.68;360.399994;46.509998;15.805
15/11/2007;30.975;345.799988;46.200001;15.7625
16/11/2007;31.309999;340;46.34;15.66
19/11/2007;31.15;320;45.470001;15.5
20/11/2007;31.395;314;45.5;15.57
21/11/2007;31.125;307.299988;44.860001;15.72
23/11/2007;31.15;317;45.73;15.9375
26/11/2007;30.865;307;45.029999;15.545
27/11/2007;31.49;303.200012;45.830002;15.85
28/11/2007;31.495001;322.899994;47.23;16.3025
29/11/2007;31.395;322.899994;47.540001;16.1775
30/11/2007;31.049999;333;47.900002;16.4125
03/12/2007;31.1;330.600006;47.869999;16.75
04/12/2007;31.375;325.5;48.189999;16.450001
05/12/2007;31.525;336.899994;48.900002;16.485001
06/12/2007;31.535;343.5;49.27;16.352501
07/12/2007;31.575001;343.100006;49.02;16.35
10/12/2007;31.635;347.700012;49.43;16.465
11/12/2007;31.485001;332.299988;49.029999;16.049999
12/12/2007;31.885;314.700012;48.23;16.112499
13/12/2007;32.044998;310.100006;48.330002;16.24
14/12/2007;31.905001;307;47.630001;16.08
17/12/2007;31.235001;307.700012;47.830002;15.7625
18/12/2007;31.110001;303.799988;48.240002;15.9375
